kde_prob_mean,kde_prob_night_mean,dist_to_centroid_mean,step_median,mean_speed,accelerate,turning_angle_max,turning_angle_median,is_night,is_outside
54627,52075,13600,252,447,379,26279,26279,0,0
54241,52630,13477,316,568,144,26210,26210,0,0
39326,46584,11806,1840,3279,3226,26447,26447,65535,0
10656,26345,8620,6980,12520,11069,19526,19526,65535,0
27821,31799,9797,8053,14405,2252,708,708,65535,0
29595,27687,10193,2537,4554,11809,52784,52784,65535,0
28098,31584,9839,2323,4151,480,65256,65256,65535,0
27359,31856,9908,755,1345,3338,2674,2674,65535,0
34745,30179,11463,2777,4965,4323,50998,50998,65535,0
41989,31770,12831,2265,4065,1079,1958,1958,0,0
40507,33631,14095,1586,2830,1471,5124,5124,0,0
42371,32921,13422,938,1681,1374,62135,62135,0,0
33717,31648,14864,2151,3831,2556,34584,34584,0,0
36014,34775,15333,2064,3695,163,43394,43394,0,0
25970,30898,16827,1642,2935,907,28768,28768,65535,0
18001,24523,17836,1280,2295,766,9182,9182,65535,0
13151,26584,1519,19407,34488,38205,56627,56627,65535,1
8360,15392,3606,5158,9245,30215,17252,17252,65535,0
6655,16373,8417,6557,11682,2899,15814,15814,65535,0
9274,18837,9222,2349,4193,8927,19274,19274,65535,0
5222,13612,7421,3944,7093,3482,61223,61223,65535,1
25748,19726,8405,9385,16693,11402,3060,3060,0,0
22919,18829,9136,853,1517,18015,26744,26744,0,0
20627,17779,9498,566,1025,595,9747,9747,0,0
12893,13647,8837,2891,5156,4918,24805,24805,0,0
2864,9077,14739,7976,14270,10888,17594,17594,0,1
2618,8440,15123,425,755,16043,6484,6484,65535,1
710,3354,16847,2153,3870,3740,14312,14312,65535,1
0,157,19445,2890,5171,1554,14210,14210,65535,1
